Tarea,Responsable,Vence,Estado,Carril,Prioridad,Descripción
Salir a la calle - 15 puertas por día,Hernán,2026-08-13,Sin empezar,Comercial,Alta,"Nueva Córdoba y Güemes, de 15:00 a 17:30: entre almuerzo y cena el dueño está y está tranquilo. Llevá un cartel de muestra aunque sea impreso, vender algo invisible es el doble de difícil. Se cierra con seña de 20.000 y fecha de instalación puesta. META DE LA SEMANA: 5 a 8 señas cobradas."
Desarmar el page.tsx del portal,Hernán,2026-08-13,Sin empezar,Producto,Media,"Con Claude. 1.041 líneas: un solo componente que trae los datos, calcula todo y arma ocho paneles de UI como variables. Cada panel se va a su componente en components/portal/. Es el más delicado de los dos refactors porque el orden de los cálculos derivados tiene sutilezas (sucursal activa, deltas, qué paneles existen según los datos). Se verifica con capturas antes y después, panel por panel. Va a desarrollo."
Bajar de desarrollo a main lo verificado,Hernán,2026-08-14,Sin empezar,Producto,Alta,"Con Claude. Solo lo que David haya revisado con sus tests. Si el viernes algo no está verificado SE QUEDA EN DESARROLLO: no entra a producción por cumplir con el plan. Es la regla que protege el lanzamiento."
Levantar el entorno local,David,2026-08-10,Sin empezar,Producto,Alta,"Seguí docs/ONBOARDING.html sección 01. Necesitás Postgres 16, cargar db/schema.sql y db/seed.sql, y un .env.local con ADMIN_PASSWORD y DATABASE_URL. LISTO CUANDO: npm run dev levanta y podés abrir las tres URLs de la sección 01."
Tocar el cartel de prueba y ver el tap,David,2026-08-10,Sin empezar,Producto,Alta,"Antes que el código, entendé el producto físico. Abrí /t/barberia-guemes-mostrador con el celular, mirá cómo redirige a Google, y después entrá al portal y encontrá ese tap en el gráfico. Eso ordena todo lo demás que vas a leer."
Hacer un primer PR mínimo,David,2026-08-10,Sin empezar,Producto,Media,"Elegí algo chiquito: un comentario que esté mal, un tipo que se pueda ajustar. El objetivo no es el cambio, es que te quede claro el circuito: rama propia, PR, CI en verde, merge. Nunca se pushea directo a main ni a desarrollo. LISTO CUANDO: tenés un PR fusionado."
Escribir tests de lib/format.ts,David,2026-08-11,Sin empezar,Producto,Alta,"Empezá por delta(), que alimenta todos los indicadores del portal. También fmtARS, fmtNum y fmtMes. Son funciones puras: no necesitan base de datos, corren solas. Son tests de CARACTERIZACIÓN: fijan lo que el sistema hace hoy, esté bien o mal. Si encontrás algo que parece un bug NO LO ARREGLES, documentalo con el test y anotalo aparte."
Escribir tests de lib/types.ts,David,2026-08-11,Sin empezar,Producto,Alta,"metricaActual, metricaAnterior, citasIA e ingresoNFC. Funciones puras del modelo de dominio. Prestá atención a los bordes: comercio sin histórico, con un solo mes, con meses salteados."
Escribir tests de lib/empleados.ts,David,2026-08-12,Sin empezar,Producto,Alta,"metricasPorEmpleado. PRIORIZALA: es el diferencial del producto. Cruza los taps de cada tarjeta NFC (dato exacto) con las menciones del nombre del empleado en el texto de las reseñas (señal, no atribución). Es lo que ningún competidor puede dar, así que si se rompe se rompe el argumento de venta."
Escribir tests de lib/keywords.ts,David,2026-08-12,Sin empezar,Producto,Media,"terminosFrecuentes: detecta los temas que se repiten en el texto de las reseñas. Función pura. Probá con textos vacíos, con acentos y con una sola reseña."
Escribir tests de lib/recomendacion.ts,David,2026-08-13,Sin empezar,Producto,Media,"recomendacionDelMes: arma la sugerencia que ve el cliente en su panel según cómo viene el mes contra el anterior. Función pura."
Escribir tests de lib/respuestas.ts,David,2026-08-13,Sin empezar,Producto,Media,"Es el generador de respuestas sugeridas: combina sentimiento por estrellas, tema por palabras clave y tono de marca. No usa ninguna API de IA, es por reglas. Importa porque es lo que el cliente lee y aprueba con su nombre."
Revisar los refactors de la rama desarrollo,David,2026-08-13,Sin empezar,Producto,Alta,"Tus tests son el criterio. Si para que pase un test hubo que CAMBIAR el test, entonces el refactor cambió comportamiento y está mal: un refactor correcto no toca ni una aserción. Revisá los PR con esa mirada y aprobá o marcá observaciones."
Hacer el QA final sobre la preview,David,2026-08-14,Sin empezar,Producto,Alta,"Con Luis, sobre el preview de Vercel y no solo en local. Los tres mundos: tap del cartel (con URL propia y sin, activo e inactivo), portal completo panel por panel, y admin con las dos formas de login. Incluí los caminos que casi nunca se prueban: activar una pieza autogestionada con PIN, editar con PIN correcto e incorrecto, y un comercio con sucursales."
Anotar las fricciones del onboarding,David,2026-08-14,Sin empezar,Procesos,Media,"Todo lo que te resultó confuso, lo que tuviste que preguntar y lo que la documentación decía mal. Sos el único que puede ver esto con ojos nuevos, y esa lista es la mejora del onboarding para el próximo que entre."
Cargar 30 paneles de demo de prospectos,Luis,2026-08-09,Sin empezar,Comercial,Alta,"LA JUGADA CENTRAL DE LA VENTA. Por cada prospecto: buscá su Place ID con /api/places-search, dalo de alta como estado prospecto, y cargale 2 competidores de su cuadra. El cron le sincroniza el rating y las reseñas reales. Resultado: 30 portales en vivo con datos verdaderos y su link privado, para mandar sin que nos hayan pedido nada. Elegí 18 de servicios de ticket alto (estética, odontología, veterinarias, gimnasios, talleres) y 12 de gastronomía. Es el prerequisito de los WhatsApps del lunes."
Escribir el checklist de alta de cliente,Luis,2026-08-10,Sin empezar,Procesos,Alta,"Con Hernán. Paso a paso desde que alguien paga la seña hasta que su portal está andando: qué se carga en el panel, de dónde sale el Place ID, qué competidores se le cargan, qué link se le manda y con qué mensaje. Hoy no existe ningún proceso escrito y con clientes reales entrando el 17 eso se vuelve un problema en días."
Probar el checklist con un comercio de prueba,Luis,2026-08-10,Sin empezar,Procesos,Alta,"Dale de alta a un comercio ficticio siguiendo SOLO lo que escribiste, sin preguntarle nada a nadie. Si te trabaste en algún paso, el documento está incompleto. Es la única forma de saber si sirve."
Bajar el contenido del sitio Impulso,Luis,2026-08-10,Sin empezar,Comercial,Media,"Ver docs/BRIEF-LUIS-SITIO-IMPULSO.html. 40 minutos. El entorno de desarrollo bloquea ese dominio por política de red, así que nadie del lado técnico pudo verlo. Abrilo en Chrome, logueate, Ctrl+S eligiendo Página web completa, comprimí el .html con su carpeta y mandá el zip. Y contestá las 4 preguntas del brief: a dónde va, quién lo ve, si guarda datos, y qué identidad visual manda."
Hacer el QA visual del portal,Luis,2026-08-11,Sin empezar,Procesos,Alta,"Los tres paneles del portal, en escritorio Y en celular, con un comercio que tenga sucursales y con uno que no. Buscá textos cortados, números que no cierran, botones que no se ven en pantalla chica. Lo que encuentres se REPORTA con captura, no se arregla: el arreglo lo hace quien toca código."
Grabar el video del flujo de Google,Luis,2026-08-11,Sin empezar,Producto,Media,"Es obligatorio para el trámite de verificación y es lo que más rechazos genera si está mal. Grabá la pantalla mostrando, SIN CORTES: el usuario entrando a su portal, apretando Conectar con Google, la pantalla de consentimiento completa con los scopes visibles, y el dato apareciendo después en el panel. Hernán lo necesita para mandar el trámite."
Hacer el QA visual del panel de admin,Luis,2026-08-12,Sin empezar,Procesos,Media,"Mismo criterio que el portal: escritorio y celular, buscando textos cortados y botones que no entran. El admin lo usamos nosotros, así que los hallazgos son menos urgentes que los del portal, que lo ve el cliente."
Escribir el checklist de demo,Luis,2026-08-12,Sin empezar,Comercial,Media,"Qué se revisa ANTES de abrir un portal delante de un cliente: que los datos estén sincronizados, que los competidores estén cargados, que el rating se vea, que no haya paneles vacíos. Una demo con un panel vacío mata la venta."
Escribir el proceso de soporte,Luis,2026-08-13,Sin empezar,Procesos,Media,"Cuando un cliente escriba 'no me anda': quién contesta, en cuánto tiempo, y qué se le pregunta primero. Definí también qué se hace si se cae la sincronización con Google o si un cartel deja de funcionar. Sin esto, el primer problema real lo resuelve el que esté más cerca del teléfono, distinto cada vez."
Encargar el lote de hardware,Simón,2026-08-10,Sin empezar,Lanzamiento,Alta,"LA TAREA MÁS URGENTE DE LA SEMANA: es la única cuya demora no se recupera. Si el lote sale el miércoles, la instalación se corre a la semana del 24 y toda la venta se atrasa con ella. Pedí fecha de entrega POR ESCRITO y un plan B. Si el proveedor da una fecha posterior al 17, se decide ESE MISMO DÍA: otro proveedor, lote más chico, o correr la instalación avisando a quienes ya señaron. Lo que no se puede es enterarse el jueves."
Generar el lote y descargar el ZIP de QR,Simón,2026-08-10,Sin empezar,Lanzamiento,Alta,"En /admin/hardware generás la cantidad de piezas y descargás un .zip con un PNG por cartel para mandarle al proveedor. IMPORTANTE: esperá a que Hernán confirme NEXT_PUBLIC_BASE_URL antes de generar, o los QR pueden salir apuntando al lugar equivocado."
Verificar 3 QR con el celular,Simón,2026-08-10,Sin empezar,Lanzamiento,Alta,"Antes de mandar NADA a imprenta, abrí tres códigos del zip con la cámara del celular y confirmá que abran app.metricsfield.com/t/... y no otra cosa. Son dos minutos. Es el único error de la semana que cuesta plata de verdad y no se arregla con un commit."
Crear los 3 links de pago en Mercado Pago,Simón,2026-08-10,Sin empezar,Comercial,Alta,"Tres links: seña 20.000, saldo 19.000 y pack anual 249.000. Hoy no hay ninguna forma de cobrar dentro del producto y el módulo de finanzas está borrado, así que esto destraba toda la venta. Pasáselos a Hernán apenas estén, que los necesita para la calle."
Escribir el instructivo del cartel,Simón,2026-08-11,Sin empezar,Lanzamiento,Media,"Una tarjeta chica que el comercio recibe junto al cartel: dónde apoyarlo, qué hacer si un cliente no tiene NFC (el QR del dorso), y a quién escribirle si no anda. Que se entienda sin saber nada de tecnología: lo va a leer un dueño de bar, no un técnico."
Escribir el protocolo de instalación,Simón,2026-08-12,Sin empezar,Lanzamiento,Media,"Qué se hace en el local el día que se instala: dónde se ubica el cartel, qué se prueba delante del dueño, qué se le explica al personal. Escribilo como pasos numerados, para que cualquiera de los cuatro pueda ir a instalar sin haberlo hecho antes."
Cotizar el segundo lote y la reposición,Simón,2026-08-13,Sin empezar,Lanzamiento,Media,"Costo por unidad, tiempo real de entrega y punto de repedido. Si la venta arranca bien, la semana del 24 necesitás carteles otra vez y no querés descubrir ahí que el proveedor tarda tres semanas."
