Correr migración 010 en Neon | Dejar el producto terminado | Alta | Hernán | 2026-08-10 | Correr primero el PASO 1 (solo lectura). Si feedback/cobros/prospectos tienen filas, avisar antes de borrar.
Encargar el lote de hardware | Lanzamiento Piloto | Alta | Simón | 2026-08-10 | LA MAS URGENTE DE LA SEMANA. Pedir fecha por escrito y plan B. Si el proveedor da una fecha posterior al 17, se decide ese mismo día.
Generar lote y descargar ZIP de QR | Lanzamiento Piloto | Alta | Simón | 2026-08-10 | En /admin/hardware. Esperar a que Hernán confirme NEXT_PUBLIC_BASE_URL antes de generar.
Verificar 3 QR del lote con celular real | Lanzamiento Piloto | Alta | Simón | 2026-08-10 | Tienen que abrir app.metricsfield.com/t/... Es el único error de la semana que cuesta plata y no se arregla con un commit.
Crear links de pago en Mercado Pago | Kit Comercial | Alta | Simón | 2026-08-10 | Tres links: seña 20.000, saldo 19.000, pack anual 249.000. Pasarle los links a Hernán para la calle.
Escribir instructivo que va con el cartel | Kit Comercial | Media | Simón | 2026-08-11 | Dónde apoyarlo, qué hacer si el cliente no tiene NFC, a quién escribir si no anda. Sin tecnicismos.
Escribir protocolo de instalación en el local | Lanzamiento Piloto | Media | Simón | 2026-08-12 | Dónde va el cartel, qué se prueba delante del dueño, qué se explica al personal. Escrito como pasos para que cualquiera pueda instalar.
Cotizar segundo lote y tiempo de reposición | Lanzamiento Piloto | Media | Simón | 2026-08-13 | Costo unitario, plazo real de entrega y punto de repedido. Si la venta arranca, el 24 hacen falta más carteles.
Levantar entorno local y leer onboarding | Dejar el producto terminado | Alta | David | 2026-08-10 | Seguir docs/ONBOARDING.html. Tocar el cartel de prueba con el celular y ver el tap aparecer en el portal.
Hacer primer PR de prueba | Dejar el producto terminado | Media | David | 2026-08-10 | Algo mínimo. El objetivo no es el cambio, es recorrer el circuito completo: rama, PR, CI en verde, merge.
Escribir tests de lib/format.ts | Dejar el producto terminado | Alta | David | 2026-08-11 | Empezar por delta(): alimenta todos los indicadores del portal. Función pura, no necesita base de datos.
Escribir tests de lib/types.ts | Dejar el producto terminado | Alta | David | 2026-08-11 | metricaActual, metricaAnterior, citasIA, ingresoNFC. Funciones puras.
Escribir tests de lib/empleados.ts | Dejar el producto terminado | Alta | David | 2026-08-12 | metricasPorEmpleado. Es el diferencial del producto, priorizarlo.
Escribir tests de lib/keywords.ts | Dejar el producto terminado | Media | David | 2026-08-12 | terminosFrecuentes. Función pura.
Escribir tests de lib/recomendacion.ts | Dejar el producto terminado | Media | David | 2026-08-13 | recomendacionDelMes. Función pura.
Escribir tests de lib/respuestas.ts | Dejar el producto terminado | Media | David | 2026-08-13 | Es lo que el cliente lee y aprueba en el portal.
Revisar refactors en la rama desarrollo | Dejar el producto terminado | Alta | David | 2026-08-13 | Criterio: si algún test tuvo que cambiar, el refactor cambió comportamiento y está mal.
Hacer QA final de punta a punta en la preview | Dejar el producto terminado | Alta | David | 2026-08-14 | Con Luis. Los 3 mundos: tap, portal y admin. Incluir activación con PIN y un comercio con sucursales.
